open,high,low,close,volume,datetime
198.8486,198.925,198.79,198.8268,70802,1749740940000
198.815,198.86,198.6902,198.726,92902,1749741000000
198.72,198.74,198.61,198.69,44732,1749741060000
198.68,198.7704,198.63,198.65,37550,1749741120000
198.64,198.69,198.53,198.64,55893,1749741180000
198.64,198.92,198.63,198.85,95514,1749741240000
198.855,198.88,198.72,198.79,79331,1749741300000
198.79,198.845,198.645,198.66,48292,1749741360000
198.67,198.71,198.51,198.57,39077,1749741420000
198.58,198.61,198.405,198.45,67846,1749741480000
198.44,198.59,198.412,198.555,59802,1749741540000
198.57,198.61,198.44,198.5698,46667,1749741600000
198.5669,198.5669,198.45,198.4587,37207,1749741660000
198.45,198.46,198.23,198.3,70072,1749741720000
198.29,198.35,198.11,198.34,190327,1749741780000
198.34,198.35,198.15,198.18,68526,1749741840000
198.18,198.18,198.01,198.135,95691,1749741900000
198.13,198.18,198.02,198.045,54797,1749741960000
198.05,198.0695,197.8627,197.9,119777,1749742020000
197.9,198.03,197.89,198.01,76564,1749742080000
198.02,198.24,198.015,198.14,73115,1749742140000
198.1337,198.1758,198.05,198.16,49885,1749742200000
198.17,198.17,198.11,198.1202,46001,1749742260000
198.13,198.2,198.02,198.02,61049,1749742320000
198.03,198.123,198.02,198.09,32001,1749742380000
198.08,198.11,198.01,198.08,33416,1749742440000
198.09,198.15,198.06,198.13,36895,1749742500000
198.13,198.17,198.08,198.0852,33043,1749742560000
198.08,198.085,197.81,197.8289,92611,1749742620000
197.83,197.89,197.8,197.85,55960,1749742680000
197.84,197.86,197.755,197.78,56678,1749742740000
197.773,197.94,197.773,197.915,46847,1749742800000
197.91,198.095,197.89,198.0779,59980,1749742860000
198.061,198.0712,197.91,197.915,42059,1749742920000
197.92,197.98,197.91,197.96,29390,1749742980000
197.95,197.995,197.91,197.99,31446,1749743040000
197.99,198.0104,197.91,197.91,48162,1749743100000
197.91,197.97,197.86,197.8745,35572,1749743160000
197.88,198.0,197.84,197.98,59324,1749743220000
197.99,198.0,197.94,197.97,45670,1749743280000
197.96,198.1655,197.96,198.13,72759,1749743340000
198.11,198.14,197.89,197.898,70618,1749743400000
197.9,197.9963,197.8902,197.97,58302,1749743460000
197.9641,197.98,197.93,197.965,58498,1749743520000
197.965,198.07,197.94,198.03,51267,1749743580000
198.04,198.04,197.96,197.992459,30052,1749743640000
197.981,198.05,197.981,198.04,37428,1749743700000
198.04,198.1872,198.03,198.1518,74956,1749743760000
198.16,198.18,198.075,198.175,69117,1749743820000
198.17,198.3093,198.17,198.305,56803,1749743880000
198.3089,198.3278,198.21,198.3098,55251,1749743940000
198.295,198.4226,198.15,198.37,84553,1749744000000
198.37,198.49,198.37,198.49,46028,1749744060000
198.48,198.5464,198.46,198.4987,55962,1749744120000
198.5,198.52,198.3,198.355,45925,1749744180000
