
IEP,ICAHN ENTERPRISES L,8.55,0,0.00%,"1,107",8.52,8.62,0,0,-1.64,"4,669 M",46.60%
KIROY,KUMBA IRON ORE ADR,5.15,0,0.00%,N/A,5.11,5.7,0,0,0.8101,"4,958 M",N/A
ZIM,ZIM INTEGRATED SHIPP,17.72,0,0.00%,"98,370",17.7,17.77,0,0,19.52,"2,135 M",60.86%
SLVYY,SOLVAY S A ADR,3.28,0,0.00%,N/A,3.11,3.64,0,0,0.2013,"3,426 M",N/A
NWWCF,NEW CHINA LIFE INS C,4.95,0,0.00%,N/A,4.55,5.52,0,0,1.2,"15,442 M",N/A
MEGI,NYLI CBRE GLOBAL INFRSTR MEG TM CF,13.94,0,0.00%,N/A,13.52,14.5,0,0,1.94,726 M,N/A
MSDL,MORGAN STANLEY DIREC,19.4,0,0.00%,41,19.38,19.5,0,0,2.18,"1,691 M",52.67%
TNGRF,THUNGELA RES LTD,4.85,0,0.00%,N/A,4.27,6.6,0,0,1.405,624 M,N/A
GUKYF,GULF KEYSTONE PETROL,2.256,0,0.00%,N/A,2.1,2.45,0,0,0.0313,489 M,N/A
LGGNF,LEGAL & GENERAL GROU,3.5,0,0.00%,N/A,3.2,3.95,0,0,0.0359,"19,965 M",N/A
WILWY,WALLENIUS WILHELMSEN ADR,17,0,0.00%,N/A,14.02,19.12,0,0,4.8,"3,594 M",N/A
ECAT,BLACKROCK ESG CPTL ALCTN TRM TRST CF,15.7,0,0.00%,44,15.55,16.29,0,0,2.37,"1,560 M",N/A
NCDL,NUVEEN CHURCHILL DIR,16.62,0,0.00%,1,16.16,17,0,0,1.87,836 M,N/A
NMAI,NUVEEN MULTI ASSET INCOME CF,12.29,0,0.00%,580,11.77,12.48,0,0,1.06,411 M,N/A
NPCT,NUVEEN CORE PLUS IMPACT CF,10.7,0,0.00%,107,10.51,10.75,0,0,0.98,308 M,N/A
WAWIF,WALLENIUS WILHELMSEN,8.735,0,0.00%,N/A,7.8,8.78,0,0,2.4,"3,693 M",N/A
BIT,BLACKROCK MULTI SECTOR INCOME CF,14.37,0,0.00%,N/A,14.35,14.4,0,0,1.22,601 M,N/A
BTX,BLACKROCK TECH AND PRIVATE EQTY TRM TRST,7.14,0,0.00%,11,7.12,7.15,0,0,0.17,"1,523 M",N/A
CCD,CALAMOS DYNAMIC CONVERTIBLE CF,19.5,0,0.00%,218,19.28,19.4,0,0,4.34,528 M,N/A
DSL,DOUBLELINE INCOME SOLUTIONS CF,12.06,0,0.00%,1,12.01,12.12,0,0,1.09,"1,377 M",12.93%
EDD,MS EMERGING MARKTS DOMESTIC DEBT CF,5.09,0,0.00%,N/A,4.96,5.13,0,0,0.57,328 M,N/A
FRBP,AI SECURITY UNDER SS,10.51,0,0.00%,N/A,9.5,N/A,0,0,0.57,"1,431 M",N/A
XFLT,XAI OCTGON FLOAT RTE ALTRNTV NAV CF,5.51,0,0.00%,265,5.52,5.54,0,0,0.2,420 M,N/A
FSCO,FS CREDIT OPPORTUNITIES CF,7.22,0,0.00%,164,7.23,7.29,0,0,0.94,"1,432 M",N/A
GOF,GUGGENHEIM STRATEGIC OPPORTNITIES CF,14.57,0,0.00%,761,14.57,14.62,0,0,2.12,"2,366 M",N/A
JRI,NUVEEN REAL ASSET INCOME AND GRO CF,13.06,0,0.00%,5,12.87,13.34,0,0,0.93,358 M,N/A
PDI,PIMCO DYNAMIC INCOME CF,18.63,0,0.00%,"5,214",18.68,18.73,0,0,2.21,"7,052 M",N/A
PDO,PIMCO DYNAMIC INCOME OPPORT CF,13.34,0,0.00%,1,13.3,13.45,0,0,2.11,"1,697 M",N/A
SFL,SFL CORP LTD,8.89,0,0.00%,125,8.85,8.98,0,0,0.41,"1,187 M",42.11%
THQ,ABRDN HEALTHCARE OPPORTUNITIES CF,18.12,0,0.00%,34,18.05,19,0,0,0.13,750 M,N/A
GBAB,GUGNHM TXBL MUN BOND & INV GRADE DEBT TR,14.64,0,0.00%,"1,404",14.7,15,0,0,1.96,391 M,N/A
CXMSF,CEMEX S A B DE CV,0.6814,0,0.00%,N/A,0.65,0.7227,0,0,0.097,"9,886 M",N/A
NZTCF,SPARK NEW ZEALAND LT,1.45,0,0.00%,N/A,1.08,1.7,0,0,0.1053,"2,674 M",N/A
PAXS,PIMCO ACCESS INCOME CF,14.95,0,0.00%,5,14.9,15.15,0,0,2.31,672 M,N/A
BKRKF,PT BANK RAKYAT,0.2425,0,0.00%,N/A,0.1915,0.2715,0,0,0.0232,"36,534 M",N/A
HUYA,HUYA INC A ADR,3.87,0,0.00%,"5,480",3.87,3.91,0,0,-0.0702,865 M,++
DMCOF,D AMICO INTERNTNL SH,4.294,0,0.00%,N/A,4.05,4.75,0,0,1.255,510 M,N/A
CICOF,COSCO SHIPPING HLDGS,1.73,0,0.00%,N/A,1.55,1.97,0,0,0.4219,"26,797 M",N/A
FDDMF,"FDM GROUP PLC, BRIGH",2.93,0,0.00%,N/A,2.55,3.34,0,0,0.2346,320 M,N/A
CIG/C,COMPANHIA ENERGETICA ADR,2.716,0,0.00%,239,2.62,2.75,0,0,0.4253,"7,770 M",N/A
PBR/A,PETROLEO BRASILEIRO ADR,11.93,0,0.00%,"42,414",11.99,12,0,0,1.34,"76,881 M",90.58%
MPZZF,MPC CONTAINER SHIPS,1.71,0,0.00%,N/A,1.35,1.85,0,0,0.56,759 M,N/A
BCAT,BLACKROCK CAPITAL ALCTN TERM TRST CF,14.82,0,0.00%,494,14.79,15,0,0,1.83,"1,553 M",N/A
KBDC,KAYNE ANDERSON BDC I Equity,15.6,0,0.00%,101,15.57,15.84,0,0,1.77,"1,106 M",N/A
PCWLF,PCCW LTD,0.6612,0,0.00%,N/A,0.617,0.697,0,0,-0.005,"5,118 M",N/A
BMEZ,BLACKROCK HEALTH SCIENCES TM TRST CF,14.21,0,0.00%,123,14.01,14.6,0,0,0.21,"1,439 M",N/A
HNLGY,HANG LUNG GROUP LTD ADR,8.13,0,0.00%,N/A,7.21,8.3,0,0,0.76,"2,214 M",N/A
BSTZ,BLACKROCK SCIENCE TCNLGY TRM TRST CF,19.56,0,0.00%,56,19,19.83,0,0,7.86,"1,379 M",N/A
OILRF,OIL REFINERIES LTD,0.238,0,0.00%,N/A,0.2,0.3,0,0,0.01,740 M,N/A
HOEGF,HOEGH AUTOLINER ASA,9.54,0,0.00%,N/A,8.75,9.52,0,0,3.43,"1,820 M",N/A
GBOOF,GRUPO FINANCIERO BAN,9.19,0,0.00%,N/A,8.41,9.41,0,0,0.9672,"25,844 M",N/A
SQZZF,SERICA ENERGY PLC,2.2,0,0.00%,N/A,2.3,2.75,0,0,0.23,859 M,N/A
BRANF,BARAN GROUP LTD,2.25,0,0.00%,N/A,1.12,N/A,0,0,0.3907,54 M,N/A
HZNFF,HORIZON OIL LIMITED,0.13,0,0.00%,"100,000",0.0001,0.195,0,0,0.0087,211 M,N/A
FEDU,FOUR SEASONS ED CAYM ADR,10.0499,0,0.00%,11,6.01,10.05,0,0,0.0987,21 M,N/A
BWG,BRANDYWINEGBL GBL INCM OPP     COM,8.12,0,0.00%,N/A,8.05,8.26,0,0,1.77,136 M,N/A
GDO,WESTERN AST GLB CORP OPPTY CF,11.59,0,0.00%,N/A,11.41,12,0,0,1.77,87 M,N/A
EWPMF,EAST WEST PETE CORP,0.015,0,0.00%,N/A,0.015,0.0365,0,0,0.0005,1.4 M,N/A
IDE,VOYA INFRASTRUC INDSTRLS MATRALS CF,11.38,0,0.00%,N/A,11.23,11.5,0,0,0.99,172 M,N/A
OPP,RIVERNORTH DOUBLLINE STRTGC OPTY CF,8.37,0,0.00%,N/A,8.3,8.4,0,0,0.9759,199 M,N/A
PGZ,PRINCIPAL REAL ESTATE INCOME CF,10.47,0,0.00%,N/A,10.34,10.82,0,0,3.29,70 M,N/A
RIV,RIVERNORTH OPPORTUNITIES CF,11.97,0,0.00%,N/A,11.94,12.52,0,0,2.02,257 M,N/A
RSF,RIVERNORTH CAPITAL AND INCOME CF,14.65,0,0.00%,N/A,14.61,14.94,0,0,1.626,49 M,N/A
SRV,NXG Cushing Midstream Energy Fund,41.69,0,0.00%,2,41.25,44.5,0,0,15.13,180 M,N/A
PDCC,PEARL DIVER CREDIT C Equity,17.0897,0,0.00%,N/A,17.08,19.6,0,0,2.286,116 M,N/A
HGLB,HIGHLAND GLOB ALLO NAV CF,9.04,0,0.00%,N/A,8.68,9.15,0,0,1.6,210 M,N/A
ITEX,ITEX CORP,3.9,0,0.00%,N/A,3.8,3.9,0,0,0.45,6.6 M,N/A
KHDHF,KHD HUMBOLDT WEDAG I,1.84,0,0.00%,N/A,N/A,N/A,0,0,0.2185,91 M,N/A
ASCJF,AMSC ASA,0.155,0,0.00%,N/A,0.1065,0.1865,0,0,1.014,11 M,N/A
AKCCF,AKER CARBON CAPTURE,0.0301,0,0.00%,N/A,0.019,0.0662,0,0,0.7803,18 M,N/A
CCIF,CARLYLE CREDIT INCOME NAV CF,6.12,0,0.00%,4,6,6.65,0,0,0.3,116 M,N/A
PMTYF,PLAYMATES TOYS LTD,0.0701,0,0.00%,N/A,0.0474,0.0944,0,0,0.0144,83 M,N/A
RMIAF,AUTOMOTIVE FINCO COR,0.76,0,0.00%,N/A,N/A,N/A,0,0,0.0839,15 M,N/A
MBNKP,MEDALLION BANK 8% PF 8% PFD Callable,24.96,0,0.00%,N/A,24.91,24.99,0,0,N/A,0,N/A
PSBXP,LINK PARKS INC 5.25% 5.25% PFD Callable,11.5,0,0.00%,N/A,13.1,14.3,0,0,N/A,0,N/A
