Datetime,Ticker,Open,High,Low,Close,Volume
2025-06-13 17:09:00,MSFT,474.5,474.5,474.5,474.5,1000
2025-06-13 17:22:00,MSFT,474.55,474.55,474.55,474.55,141
2025-06-13 17:33:00,MSFT,474.72,474.72,474.72,474.72,400
2025-06-13 17:57:00,MSFT,474.56,474.56,474.55,474.55,915
2025-06-13 17:59:00,MSFT,474.56,474.5601,474.56,474.56,596
2025-06-13 18:07:00,MSFT,474.59,474.59,474.59,474.59,373
2025-06-13 18:14:00,MSFT,474.59,474.59,474.0616,474.0616,426
2025-06-13 19:15:00,MSFT,474.15,474.15,474.15,474.15,1833
2025-06-13 19:23:00,MSFT,474.7,474.7,474.7,474.7,300
2025-06-13 19:24:00,MSFT,474.15,474.15,474.15,474.15,500
2025-06-13 19:28:00,MSFT,474.15,474.15,474.15,474.15,100
2025-06-13 19:47:00,MSFT,474.34,474.34,474.34,474.34,965
2025-06-13 19:55:00,MSFT,474.1837,474.1837,474.1837,474.1837,100
2025-06-15 20:00:00,MSFT,474.43,476.1,474.43,475.99,368
2025-06-15 20:01:00,MSFT,475.24,475.24,475.24,475.24,13
2025-06-15 20:02:00,MSFT,475.3,475.8,475.3,475.31,27
2025-06-15 20:03:00,MSFT,475.5,475.89,475.5,475.89,64
2025-06-15 20:04:00,MSFT,475.89,475.89,475.89,475.89,1
2025-06-15 20:05:00,MSFT,475.75,475.75,475.75,475.75,5
2025-06-15 20:06:00,MSFT,475.5,475.5,475.24,475.24,89
2025-06-15 20:07:00,MSFT,475.27,475.37,475.27,475.37,27
2025-06-15 20:08:00,MSFT,475.44,475.56,475.44,475.56,168
2025-06-15 20:09:00,MSFT,475.56,475.56,475.56,475.56,4
2025-06-15 20:11:00,MSFT,475.72,475.72,475.72,475.72,3
2025-06-15 20:12:00,MSFT,475.81,475.88,475.37,475.37,172
2025-06-15 20:13:00,MSFT,475.43,475.43,475.39,475.39,35
2025-06-15 20:15:00,MSFT,475.55,475.55,475.4,475.4,34
2025-06-15 20:16:00,MSFT,475.36,475.4,475.34,475.34,91
2025-06-15 20:17:00,MSFT,475.29,475.29,475.12,475.14,254
2025-06-15 20:18:00,MSFT,475.15,475.15,474.81,474.81,294
2025-06-15 20:19:00,MSFT,474.59,474.8,474.57,474.8,81
2025-06-15 20:20:00,MSFT,474.8,474.8,474.63,474.63,166
2025-06-15 20:21:00,MSFT,474.7,474.7,474.7,474.7,5
2025-06-15 20:22:00,MSFT,474.72,474.74,474.5,474.51,280
2025-06-15 20:23:00,MSFT,474.52,474.52,474.52,474.52,2
2025-06-15 20:24:00,MSFT,474.52,474.52,474.07,474.07,250
2025-06-15 20:25:00,MSFT,474.07,474.28,474.07,474.28,17
2025-06-15 20:26:00,MSFT,474.19,474.19,474.19,474.19,68
2025-06-15 20:29:00,MSFT,474.54,474.54,474.12,474.12,60
2025-06-15 20:31:00,MSFT,474.15,474.15,474.12,474.12,35
2025-06-15 20:32:00,MSFT,474.12,474.12,474.12,474.12,20
2025-06-15 20:33:00,MSFT,474.49,474.49,474.49,474.49,13
2025-06-15 20:35:00,MSFT,474.49,474.59,474.49,474.59,8
2025-06-15 20:37:00,MSFT,474.97,474.97,474.97,474.97,2
2025-06-15 20:39:00,MSFT,474.97,474.97,474.97,474.97,15
2025-06-15 20:40:00,MSFT,474.98,474.98,474.98,474.98,5
2025-06-15 20:41:00,MSFT,474.75,474.75,474.75,474.75,15
2025-06-15 20:42:00,MSFT,474.74,474.74,474.74,474.74,8
2025-06-15 20:48:00,MSFT,474.9,474.9,474.9,474.9,10
2025-06-15 20:51:00,MSFT,474.88,474.88,474.88,474.88,10
2025-06-15 20:52:00,MSFT,474.8,474.8,474.8,474.8,5
2025-06-15 20:54:00,MSFT,474.99,474.99,474.99,474.99,2
2025-06-15 20:57:00,MSFT,475.0,475.0,475.0,475.0,126
2025-06-15 20:58:00,MSFT,475.0,475.0,475.0,475.0,44
2025-06-15 20:59:00,MSFT,475.19,475.67,475.19,475.67,10
2025-06-15 21:00:00,MSFT,475.0,475.0,475.0,475.0,1
2025-06-15 21:05:00,MSFT,475.3,475.31,475.3,475.31,200
2025-06-15 21:06:00,MSFT,475.11,475.11,475.11,475.11,1
2025-06-15 21:08:00,MSFT,475.1,475.1,475.1,475.1,22
2025-06-15 21:09:00,MSFT,475.11,475.48,475.11,475.48,6
2025-06-15 21:12:00,MSFT,475.22,475.22,475.22,475.22,9
2025-06-15 21:13:00,MSFT,475.22,475.22,475.22,475.22,13
2025-06-15 21:14:00,MSFT,475.42,475.42,475.1,475.1,45
2025-06-15 21:15:00,MSFT,475.23,475.32,475.1,475.1,18
2025-06-15 21:18:00,MSFT,475.1,475.1,475.02,475.02,61
2025-06-15 21:19:00,MSFT,475.02,475.02,475.02,475.02,3
2025-06-15 21:20:00,MSFT,475.0,475.0,474.59,474.59,122
2025-06-15 21:21:00,MSFT,474.49,474.49,474.48,474.48,51
